,brand,category,color,features,price,sales_rank,title
B00004R93U,Juiceman,centrifugal,Off-White,"['Peppy 1/4-horsepower motor quickly juices most fruits and vegetables', 'Makes tasty, nutritious, and additive-free juice blends', 'Stainless steel blade, basket with micro-mesh strainer to screen out pulp', 'Medium-capacity pulp receptacle for continuous juicing', 'Two-speed control for soft or hard produce']",$158.98,1006304,Juiceman Jr. Elite Pro JM211 Juice Extractor
B00004R93V,Juiceman,centrifugal,White,"['Powerful 1/2-horsepower motor quickly juices most fruits and vegetables', 'Makes tasty, nutritious, and additive-free juice blends', 'Stainless-steel blade, basket with micro-mesh strainer screens out pulp', 'High-capacity pulp receptacle for continuous juicing', 'Two-speed control for soft or hard produce']",$79.95,778846,The Juiceman Electronic Professional Series 410 Elite Edition
B00004S8FH,Waring,centrifugal,White,"['Converts all noncitrus fruits and vegetables into fresh juice', 'Durable stainless-steel blade; powerful 110-volt motor', '9-1/4 inches in diameter by 12 inches high', 'Disassembles easily for cleaning', 'Product Built to North American Electrical Standards, uses 110 volts']",$360.00,227195,"Waring PJE401 Juice Extractor, Quite White and Stainless Steel"
B00004S8FI,Waring,citrus,Quite White,"['Juices all citrus fruits, from limes to grapefruit', 'Heavy-duty metal base provides stability while juicing', 'Vibration-absorbing rubber feet keep juicer from slipping', 'Dishwasher-safe reamer and juice bowl disassemble for easy cleaning', 'Product Built to North American Electrical Standards']",,254788,"Waring PCJ201 Citrus Juicer, Quite White"
B00004S8FJ,Waring,citrus,Stainless Steel,"['Juices all citrus fruits, from limes to grapefruit', 'Heavy-duty metal base provides stability while juicing', 'Vibration-absorbing rubber feet keep juicer from slipping', 'Dishwasher-safe reamer and juice bowl disassemble for easy cleaning', 'Product Built to North American Electrical Standards']",$149.99,231125,"Waring PCJ218 Citrus Juicer, Stainless Steel"
B00004SC51,BLACK+DECKER,citrus,,"['Large 1 liter (34 ounce) pitcher', 'Adjustable pulp control', 'Automatic self-reversing reamer with stirrer', 'Easy-pour spout', 'Small and large cones for lemons / limes and oranges / grapefruits']",$59.32,323563,Black & Decker CJ525 CitrusMate Plus Citrus Juicer
B00004X139,Hamilton Beach,centrifugal,White,"['This Hamilton Beach HealthSmart Juice Extractor provides healthy, fresh-tasting fruit and vegetable juices', 'In addition to its powerful motor, it features a large, easy-to-remove pulp bin, durable Stainless Steel cutter/strainer, convenient spout and safety latches', '25 food and drink recipes are also included.']",$42.38,919971,"Juice Extractor,Healthsmart"
B00005MF9O,BLACK+DECKER,citrus,Blue,"['Electric juicer, beverage stirrer, and serving pitcher with contemporary look', 'Perfect for making, mixing lemonade, fruit punch, sangria, other chilled drinks', 'Holds 76 ounces; one-button control for juicing, stirring', 'Self-reversing reamer for maximum juice extraction', 'Includes dust cover for juicer, straining lid for pitcher']",$48.99,1232987,Black & Decker BM300 Juice Wizard Beverage Maker
B00005OTY9,Juiceman,centrifugal,White,"['Automatic fruit and vegetable juicer for frequent users and families', '18/10 stainless steel blade; wire-mesh basket to filter out pulp, seeds, and skin', 'Durable .25 horsepower motor; 2-speed capability to adjust for soft and hard produce', 'Fresh juice recipes, nutritional information, and menu planner included', 'Measures 11-1/2 by 13 by 6 inches (height by width by depth); 1-year warranty']",,347396,Juiceman Jr. Automatic Juice Extractor
B00005V3W4,Hamilton Beach,centrifugal,,"['Extracts juice from raw fruits and vegetables; 350-watt motor', '20-ounce removable juice container with removable strainer', '40-ounce removable pulp bin', 'All parts except cutter/strainer dishwasher-safe', 'Juicing tips and 26 recipes included']",$41.89,1388113,Hamilton Beach 67811 HealthSmart Juice Extractor
